Question_Sample,nova-pro-run2_PAST,nova-premier-run2_PAST,qwen3-turbo-latest-run2_PAST
q101_s1,4,5,5
q101_s10,5,5,2
q101_s11,4,5,4
q101_s12,4,5,4
q101_s13,4,5,5
q101_s14,3,5,4
q101_s15,4,5,5
q101_s16,5,5,4
q101_s17,4,5,5
q101_s18,5,5,4
q101_s19,5,3,5
q101_s2,5,5,5
q101_s20,4,5,5
q101_s3,5,5,5
q101_s4,4,5,4
q101_s5,5,5,4
q101_s6,4,5,4
q101_s7,5,5,5
q101_s8,5,5,5
q101_s9,5,5,5
q102_s1,2,2,1
q102_s10,2,4,1
q102_s11,2,2,1
q102_s12,2,2,1
q102_s13,2,4,1
q102_s14,1,2,1
q102_s15,2,3,1
q102_s16,1,2,1
q102_s17,2,7,1
q102_s18,2,2,1
q102_s19,1,2,1
q102_s2,1,2,1
q102_s20,2,2,1
q102_s3,2,2,1
q102_s4,2,2,1
q102_s5,2,2,1
q102_s6,2,2,1
q102_s7,2,2,1
q102_s8,2,2,1
q102_s9,2,2,1
q103_s1,1,2,1
q103_s10,1,2,1
q103_s11,1,2,1
q103_s12,2,2,1
q103_s13,1,2,1
q103_s14,2,2,1
q103_s15,1,1,1
q103_s16,1,2,1
q103_s17,1,1,1
q103_s18,1,2,1
q103_s19,1,2,1
q103_s2,2,2,1
q103_s20,1,2,1
q103_s3,1,2,1
q103_s4,2,1,1
q103_s5,1,2,1
q103_s6,1,2,1
q103_s7,1,2,1
q103_s8,1,2,1
q103_s9,1,2,1
q104_s1,7,7,7
q104_s10,7,7,8
q104_s11,7,7,7
q104_s12,7,7,7
q104_s13,7,7,7
q104_s14,7,6,8
q104_s15,7,7,7
q104_s16,7,7,6
q104_s17,7,7,10
q104_s18,7,7,11
q104_s19,7,7,7
q104_s2,7,6,7
q104_s20,7,6,9
q104_s3,7,7,7
q104_s4,7,6,8
q104_s5,7,6,9
q104_s6,6,7,6
q104_s7,7,7,10
q104_s8,7,6,7
q104_s9,6,7,6
q201_s1,2,2,2
q201_s10,2,2,2
q201_s11,2,2,2
q201_s12,2,2,2
q201_s13,2,2,2
q201_s14,2,2,2
q201_s15,2,2,2
q201_s16,2,2,2
q201_s17,2,2,2
q201_s18,2,2,2
q201_s19,2,2,2
q201_s2,2,2,2
q201_s20,2,2,2
q201_s3,2,2,2
q201_s4,2,2,2
q201_s5,2,2,2
q201_s6,2,2,2
q201_s7,2,2,2
q201_s8,2,2,2
q201_s9,2,2,2
q202_s1,2,2,2
q202_s10,2,2,2
q202_s11,2,2,2
q202_s12,2,2,2
q202_s13,2,2,2
q202_s14,2,2,2
q202_s15,2,2,2
q202_s16,2,2,2
q202_s17,2,2,2
q202_s18,2,2,2
q202_s19,2,2,2
q202_s2,2,2,2
q202_s20,2,2,2
q202_s3,2,2,2
q202_s4,2,2,2
q202_s5,2,2,2
q202_s6,2,2,2
q202_s7,2,2,2
q202_s8,2,2,2
q202_s9,2,2,2
q301_s1,3,3,3
q301_s10,3,3,3
q301_s11,3,5,3
q301_s12,3,3,3
q301_s13,3,3,3
q301_s14,3,3,3
q301_s15,3,3,3
q301_s16,3,3,3
q301_s17,3,11,3
q301_s18,3,3,3
q301_s19,3,3,3
q301_s2,3,3,3
q301_s20,3,3,3
q301_s3,3,3,3
q301_s4,3,3,3
q301_s5,3,5,3
q301_s6,3,3,3
q301_s7,3,3,3
q301_s8,3,3,3
q301_s9,3,3,3
q302_s1,3,3,3
q302_s10,3,3,3
q302_s11,3,3,3
q302_s12,4,3,3
q302_s13,3,3,3
q302_s14,3,3,3
q302_s15,4,3,3
q302_s16,3,3,3
q302_s17,3,3,3
q302_s18,3,3,3
q302_s19,3,3,3
q302_s2,3,3,3
q302_s20,4,3,3
q302_s3,20,3,3
q302_s4,4,3,3
q302_s5,4,3,3
q302_s6,4,3,3
q302_s7,4,3,3
q302_s8,4,3,3
q302_s9,4,3,3
q401_s1,2,5,8
q401_s10,2,5,8
q401_s11,2,5,8
q401_s12,2,5,9
q401_s13,2,5,8
q401_s14,2,5,5
q401_s15,2,7,5
q401_s16,2,5,8
q401_s17,2,5,8
q401_s18,2,5,9
q401_s19,2,5,8
q401_s2,2,5,8
q401_s20,2,7,8
q401_s3,2,7,2
q401_s4,2,7,2
q401_s5,2,5,8
q401_s6,2,5,7
q401_s7,2,5,2
q401_s8,5,5,8
q401_s9,2,5,2
q402_s1,2,5,2
q402_s10,2,5,8
q402_s11,2,5,2
q402_s12,2,7,8
q402_s13,2,5,8
q402_s14,2,5,2
q402_s15,2,5,8
q402_s16,2,5,8
q402_s17,2,5,8
q402_s18,2,5,8
q402_s19,2,5,8
q402_s2,2,5,8
q402_s20,2,5,8
q402_s3,2,5,3
q402_s4,2,5,2
q402_s5,2,5,2
q402_s6,2,5,2
q402_s7,2,5,2
q402_s8,2,5,2
q402_s9,2,5,2

Average_q101,4.45,4.9,4.45
Max_q101,5,5,5
Min_q101,3,3,2
Mode_q101,5,5,5
Average_q102,1.8,2.5,1.0
Max_q102,2,7,1
Min_q102,1,2,1
Mode_q102,2,2,1
Average_q103,1.2,1.85,1.0
Max_q103,2,2,1
Min_q103,1,1,1
Mode_q103,1,2,1
Average_q104,6.9,6.7,7.7
Max_q104,7,7,11
Min_q104,6,6,6
Mode_q104,7,7,7
Average_q201,2.0,2.0,2.0
Max_q201,2,2,2
Min_q201,2,2,2
Mode_q201,2,2,2
Average_q202,2.0,2.0,2.0
Max_q202,2,2,2
Min_q202,2,2,2
Mode_q202,2,2,2
Average_q301,3.0,3.6,3.0
Max_q301,3,11,3
Min_q301,3,3,3
Mode_q301,3,3,3
Average_q302,4.3,3.0,3.0
Max_q302,20,3,3
Min_q302,3,3,3
Mode_q302,3,3,3
Average_q401,2.15,5.4,6.55
Max_q401,5,7,9
Min_q401,2,5,2
Mode_q401,2,5,8
Average_q402,2.0,5.1,5.05
Max_q402,2,7,8
Min_q402,2,5,2
Mode_q402,2,5,8
